,Machine,Start,Finish,Duration,job_id
238,4.0,1181.0,1204.0,23.0,38
239,4.0,2169.0,2251.0,82.0,39
240,4.0,2536.0,2568.0,32.0,40
241,4.0,1581.0,1601.0,20.0,41
242,4.0,2652.0,2690.0,38.0,42
243,4.0,1659.0,1682.0,23.0,43
244,4.0,2796.0,2836.0,40.0,44
245,4.0,2722.0,2777.0,55.0,45
246,4.0,1391.0,1470.0,79.0,46
247,4.0,731.0,797.0,66.0,47
248,4.0,1084.0,1181.0,97.0,48
249,4.0,1362.0,1391.0,29.0,49
